bus_id,route,passengers,speed_kmph,traffic,weather,time_period,day_type,congestion_score,delay_minutes
B009,R01,17,8,High,Rain,Night,Weekday,72.52,12.18
B026,R05,35,31,Medium,Cloudy,Night,Weekend,52.22,2.88
B002,R03,37,42,Medium,Clear,Night,Weekday,56.89,8.48
B020,R03,56,27,Low,Cloudy,Night,Weekday,46.99,8.85
B028,R06,43,44,Low,Clear,Morning,Weekday,37.91,6.47
B047,R04,32,36,Low,Clear,Morning,Weekend,44.85,4.67
B007,R02,29,25,Medium,Clear,Morning,Weekday,56.87,11.95
B044,R01,36,18,High,Rain,Evening,Weekday,80.93,13.83
B008,R04,13,39,Low,Clear,Night,Weekday,25.98,5.39
B047,R08,32,23,Low,Rain,Night,Weekday,30.24,6.5
B035,R04,35,27,Low,Clear,Night,Weekend,37.18,5.73
B014,R06,21,12,Medium,Clear,Night,Weekend,48.39,5.53
B017,R01,57,25,Medium,Rain,Afternoon,Weekday,63.42,11.95
B036,R03,27,28,Medium,Clear,Afternoon,Weekend,57.3,6.45
B050,R02,17,39,Low,Cloudy,Afternoon,Weekday,27.17,3.81
B040,R03,59,39,Medium,Clear,Night,Weekend,60.6,6.25
B004,R04,14,37,Low,Cloudy,Afternoon,Weekday,27.0,6.03
B002,R08,20,40,Medium,Clear,Afternoon,Weekday,50.1,6.07
B006,R02,10,29,Low,Clear,Evening,Weekend,28.77,6.47
B042,R05,52,12,High,Cloudy,Evening,Weekend,86.6,16.79
B004,R04,15,13,Medium,Clear,Afternoon,Weekend,44.44,5.28
B029,R03,56,31,Medium,Clear,Afternoon,Weekday,70.49,7.2
B018,R03,7,42,Medium,Cloudy,Evening,Weekday,40.26,5.04
B026,R06,32,14,Medium,Clear,Afternoon,Weekday,59.53,6.21
B044,R03,45,20,Low,Clear,Night,Weekday,48.28,9.86
B034,R01,19,39,Medium,Cloudy,Afternoon,Weekday,37.1,5.61
B010,R04,17,8,Medium,Rain,Night,Weekday,44.75,7.19
B036,R07,46,29,Medium,Clear,Afternoon,Weekday,65.32,7.7
B014,R07,56,19,Medium,Cloudy,Morning,Weekday,68.46,10.08
B031,R08,60,21,High,Cloudy,Afternoon,Weekday,96.49,9.55
B048,R02,49,33,High,Clear,Morning,Weekday,90.75,10.56
B015,R03,21,20,Low,Clear,Afternoon,Weekday,35.13,6.28
B008,R06,11,33,Medium,Clear,Afternoon,Weekday,37.07,5.78
B014,R06,32,36,Low,Cloudy,Night,Weekend,35.18,5.48
B023,R03,42,21,Medium,Clear,Evening,Weekday,64.2,10.51
B040,R01,17,13,Medium,Rain,Evening,Weekday,48.37,12.76
B021,R06,21,41,Low,Cloudy,Night,Weekday,29.87,4.07
B016,R07,19,13,High,Clear,Evening,Weekend,75.69,9.27
B045,R02,40,33,Medium,Clear,Morning,Weekday,61.79,7.27
B018,R04,32,8,Medium,Rain,Morning,Weekend,54.74,12.42
B047,R05,19,35,Low,Clear,Afternoon,Weekday,23.57,3.62
B024,R01,50,18,Medium,Clear,Morning,Weekday,73.6,11.56
B026,R08,57,8,High,Cloudy,Evening,Weekday,90.01,13.54
B025,R08,15,28,Medium,Clear,Morning,Weekend,45.17,6.3
B045,R06,60,12,High,Clear,Afternoon,Weekday,94.66,12.23
B041,R04,35,34,Low,Clear,Morning,Weekday,29.48,7.02
B029,R05,8,19,Medium,Clear,Evening,Weekday,52.76,6.91
B015,R08,39,8,High,Clear,Night,Weekday,82.56,8.59
B045,R03,38,23,Medium,Rain,Afternoon,Weekend,69.97,10.64
B001,R03,56,14,Low,Rain,Night,Weekday,51.17,9.31
B025,R02,31,13,Medium,Clear,Morning,Weekday,56.69,10.53
B007,R05,14,24,Medium,Clear,Afternoon,Weekday,43.98,7.59
B009,R03,34,38,Medium,Clear,Afternoon,Weekday,54.81,8.72
B024,R08,49,22,High,Clear,Morning,Weekday,78.3,14.57
B001,R03,24,8,High,Clear,Afternoon,Weekday,81.89,9.0
B044,R07,33,39,Medium,Clear,Morning,Weekday,57.16,8.08
B008,R06,57,43,Low,Rain,Night,Weekend,52.85,6.95
B024,R08,33,37,Medium,Clear,Night,Weekday,61.65,9.24
B011,R08,27,26,High,Clear,Evening,Weekend,72.38,8.24
B017,R08,54,18,High,Clear,Evening,Weekend,82.99,14.27
B008,R02,25,21,Low,Clear,Morning,Weekday,28.92,8.46
B035,R04,52,35,Medium,Rain,Morning,Weekday,58.26,11.06
B035,R08,47,47,Low,Clear,Night,Weekend,37.91,5.23
B033,R03,14,28,Low,Rain,Afternoon,Weekday,29.68,7.06
B005,R07,45,33,Medium,Clear,Morning,Weekday,67.62,6.84
B042,R08,16,39,Medium,Cloudy,Afternoon,Weekday,48.03,6.3
B039,R01,34,26,Low,Rain,Evening,Weekday,41.62,10.18
B041,R01,55,9,High,Clear,Night,Weekday,92.24,11.15
B028,R04,37,14,High,Clear,Morning,Weekday,76.93,11.07
B007,R05,22,17,High,Cloudy,Evening,Weekday,76.44,12.84
B009,R02,18,39,Low,Clear,Morning,Weekend,28.19,4.88
B008,R07,26,15,Medium,Cloudy,Evening,Weekday,50.86,9.73
B012,R06,25,28,Medium,Clear,Night,Weekday,52.93,6.45
B034,R07,5,35,Low,Clear,Morning,Weekday,15.45,5.01
B033,R01,53,38,Medium,Clear,Morning,Weekday,66.32,8.31
B048,R01,47,8,High,Rain,Afternoon,Weekend,71.96,12.53
B023,R04,56,27,Low,Clear,Afternoon,Weekday,51.38,7.97
B024,R05,19,32,High,Clear,Morning,Weekend,63.03,8.54
B037,R05,40,16,High,Cloudy,Night,Weekend,79.97,9.95
B035,R04,51,29,High,Clear,Afternoon,Weekday,92.92,9.54
B044,R08,58,8,High,Clear,Morning,Weekday,89.36,10.92
B040,R07,26,27,Medium,Clear,Morning,Weekend,43.53,8.31
B022,R01,36,20,High,Cloudy,Evening,Weekday,78.65,11.17
B027,R07,50,15,Medium,Cloudy,Night,Weekend,63.72,9.4
B035,R07,58,19,High,Clear,Afternoon,Weekday,93.66,13.68
B001,R02,37,21,Low,Clear,Afternoon,Weekday,37.93,5.61
B035,R01,45,39,Low,Cloudy,Evening,Weekend,48.08,7.84
B037,R05,43,35,Medium,Cloudy,Morning,Weekend,63.68,7.4
B047,R06,27,32,Low,Clear,Afternoon,Weekend,37.87,3.86
B014,R07,47,14,Medium,Clear,Morning,Weekday,63.03,11.43
B003,R01,59,39,Medium,Clear,Afternoon,Weekend,75.92,3.89
B001,R07,6,33,High,Cloudy,Afternoon,Weekday,60.44,5.41
B005,R02,6,33,Medium,Rain,Morning,Weekday,33.84,10.29
B026,R08,42,32,Medium,Clear,Morning,Weekend,55.52,4.29
B014,R03,59,29,Low,Clear,Afternoon,Weekday,50.1,8.47
B039,R01,55,38,Medium,Clear,Evening,Weekday,68.85,11.76
B027,R04,33,29,Medium,Clear,Evening,Weekday,57.28,10.13
B009,R03,56,36,Medium,Clear,Evening,Weekday,74.09,9.76
B015,R07,50,42,Low,Rain,Evening,Weekend,45.95,10.6
B015,R04,7,22,Low,Clear,Evening,Weekday,25.15,6.62
B026,R04,43,12,Medium,Cloudy,Morning,Weekend,66.4,9.29
B042,R04,11,34,Medium,Clear,Afternoon,Weekend,37.12,5.11
B013,R01,40,15,Medium,Rain,Evening,Weekday,63.61,12.26
B032,R05,33,8,High,Clear,Night,Weekday,83.08,13.02
B039,R07,59,50,Low,Clear,Afternoon,Weekday,53.09,7.05
B049,R03,41,29,Medium,Rain,Night,Weekend,62.08,8.01
B032,R02,53,14,Medium,Clear,Morning,Weekday,70.51,9.98
B004,R05,40,30,Low,Cloudy,Afternoon,Weekend,29.27,4.48
B030,R07,27,8,Medium,Rain,Morning,Weekday,52.85,14.84
B037,R08,49,26,Medium,Clear,Night,Weekday,58.01,7.95
B023,R08,20,18,Medium,Cloudy,Afternoon,Weekday,51.92,8.2
B039,R01,52,20,High,Rain,Afternoon,Weekday,80.98,11.78
B045,R04,35,39,Low,Rain,Morning,Weekday,41.75,11.36
B015,R02,38,8,High,Cloudy,Afternoon,Weekend,76.92,8.53
B043,R07,54,26,Medium,Clear,Night,Weekday,60.56,8.06
B029,R03,5,29,Medium,Cloudy,Morning,Weekday,37.78,5.42
B036,R07,22,28,High,Cloudy,Night,Weekday,64.43,10.89
B013,R05,44,32,High,Cloudy,Afternoon,Weekday,81.82,9.55
B032,R08,47,8,Medium,Rain,Night,Weekday,66.58,15.01
B007,R06,60,8,High,Clear,Afternoon,Weekday,86.78,10.69
B022,R05,60,41,Medium,Clear,Night,Weekday,62.71,9.29
B028,R07,19,20,Medium,Cloudy,Night,Weekday,49.43,8.35
B002,R02,52,21,Low,Rain,Evening,Weekend,45.82,9.51
B042,R07,53,50,Low,Clear,Afternoon,Weekday,44.01,3.93
B045,R07,21,18,High,Rain,Evening,Weekday,66.58,15.12
B006,R01,48,18,Low,Rain,Evening,Weekday,50.4,11.72
B028,R03,14,26,Low,Rain,Morning,Weekend,24.04,7.25
B028,R02,24,8,High,Rain,Morning,Weekday,64.79,17.34
B044,R07,10,14,Low,Rain,Night,Weekday,24.56,8.65
B044,R04,12,21,Low,Rain,Afternoon,Weekend,28.64,6.54
B020,R03,49,24,Medium,Cloudy,Morning,Weekday,66.8,8.52
B030,R05,38,31,Medium,Clear,Evening,Weekday,51.0,8.86
B011,R02,36,23,High,Clear,Afternoon,Weekday,84.09,6.79
B028,R05,55,40,Medium,Clear,Night,Weekday,68.55,7.6
B025,R08,58,36,Medium,Clear,Night,Weekday,71.85,9.14
B039,R07,46,34,Medium,Clear,Morning,Weekday,76.26,11.37
B033,R05,8,16,Medium,Rain,Morning,Weekday,47.79,11.01
B001,R05,48,21,Medium,Cloudy,Morning,Weekday,66.86,11.06
B027,R01,54,31,High,Clear,Night,Weekday,85.87,9.56
B013,R05,43,41,Medium,Cloudy,Evening,Weekday,61.47,6.35
B041,R04,24,16,Medium,Clear,Morning,Weekday,45.98,6.72
B003,R04,28,43,Low,Clear,Night,Weekday,34.42,4.32
B039,R03,28,16,Medium,Rain,Afternoon,Weekday,62.13,7.9
B006,R07,59,48,Low,Clear,Night,Weekday,51.63,4.94
B008,R06,30,12,Medium,Cloudy,Afternoon,Weekday,66.15,8.2
B027,R08,29,26,High,Clear,Afternoon,Weekday,77.15,6.84
B009,R05,40,15,Medium,Clear,Evening,Weekday,61.4,6.93
B037,R05,11,25,Low,Rain,Morning,Weekday,24.81,8.13
B033,R02,14,21,High,Clear,Afternoon,Weekday,76.86,11.48
B042,R01,51,14,Low,Rain,Morning,Weekend,43.18,11.09
B044,R06,16,22,Medium,Clear,Night,Weekday,44.36,6.36
B024,R03,5,39,Medium,Clear,Morning,Weekday,38.09,5.95
B015,R08,56,37,Low,Rain,Night,Weekday,59.31,9.08
B032,R06,54,18,High,Rain,Afternoon,Weekday,87.74,13.72
B032,R05,29,46,Low,Clear,Evening,Weekday,34.92,7.26
B024,R02,20,8,High,Clear,Afternoon,Weekday,72.6,13.18
B041,R07,9,37,Low,Cloudy,Night,Weekend,23.24,4.83
B049,R01,23,26,Low,Clear,Afternoon,Weekday,27.68,7.24
B049,R07,8,28,Low,Clear,Evening,Weekday,19.94,6.67
B012,R03,10,21,Low,Cloudy,Morning,Weekday,20.77,3.6
B039,R06,30,15,Medium,Cloudy,Night,Weekend,44.99,4.35
B002,R03,53,25,Medium,Clear,Morning,Weekend,66.79,9.89
B003,R05,43,20,High,Clear,Evening,Weekend,73.71,10.62
B049,R03,60,13,Low,Rain,Afternoon,Weekday,52.75,13.06
B037,R07,59,14,Medium,Cloudy,Evening,Weekday,73.68,13.98
B049,R02,43,12,Medium,Cloudy,Night,Weekday,58.49,9.48
B017,R03,13,31,Medium,Clear,Night,Weekday,48.18,5.85
B049,R04,49,41,Medium,Clear,Afternoon,Weekend,68.13,4.85
B002,R02,56,33,Medium,Clear,Night,Weekday,75.52,10.56
B002,R06,18,48,Low,Clear,Evening,Weekday,27.05,5.87
B028,R01,52,24,High,Clear,Night,Weekday,78.94,9.45
B023,R01,59,36,Medium,Clear,Morning,Weekday,64.97,9.39
B037,R05,13,24,Medium,Cloudy,Evening,Weekday,38.19,8.79
B032,R05,19,33,Low,Cloudy,Evening,Weekday,31.88,9.57
B033,R04,41,31,Low,Clear,Night,Weekday,24.39,6.22
B001,R06,54,22,Medium,Cloudy,Afternoon,Weekday,61.99,9.02
B019,R07,57,37,Low,Cloudy,Afternoon,Weekday,48.56,4.07
B002,R01,24,21,Low,Clear,Afternoon,Weekend,26.61,5.77
B044,R01,12,31,High,Clear,Night,Weekday,61.7,8.46
B026,R01,36,14,Medium,Cloudy,Night,Weekday,62.15,9.71
B032,R07,51,15,Medium,Clear,Night,Weekday,59.9,9.52
B006,R01,25,28,Low,Clear,Evening,Weekday,30.21,7.04
B032,R03,45,14,High,Clear,Evening,Weekend,87.14,12.15
B004,R06,23,41,Low,Clear,Night,Weekend,29.64,2.28
B011,R02,33,25,High,Rain,Afternoon,Weekday,88.52,12.45
B017,R02,35,28,High,Cloudy,Morning,Weekday,82.98,13.0
B038,R04,58,32,Medium,Clear,Afternoon,Weekday,74.74,9.68
B024,R03,10,21,High,Rain,Evening,Weekday,58.06,13.18
B005,R01,8,20,Medium,Cloudy,Evening,Weekend,43.51,8.01
B034,R01,47,36,Low,Cloudy,Afternoon,Weekday,42.08,6.68
B006,R05,33,34,Low,Clear,Afternoon,Weekday,34.46,5.96
B022,R05,46,28,Low,Cloudy,Evening,Weekday,40.32,8.4
B011,R04,7,26,Low,Clear,Evening,Weekday,22.83,6.16
B048,R01,5,38,Medium,Clear,Night,Weekday,30.49,4.43
B016,R04,48,27,Low,Clear,Morning,Weekend,39.37,5.71
B033,R03,59,8,High,Clear,Night,Weekday,97.91,11.88
B009,R02,19,12,Medium,Clear,Night,Weekend,46.82,7.91
B006,R01,51,15,Medium,Clear,Afternoon,Weekday,62.23,6.86
B016,R06,25,13,High,Rain,Afternoon,Weekday,72.17,13.96
B029,R07,50,20,Low,Clear,Morning,Weekday,45.16,7.1
B003,R03,35,8,Medium,Rain,Night,Weekday,46.24,10.83
B020,R01,11,11,High,Cloudy,Night,Weekday,66.2,9.58
B036,R07,21,47,Low,Clear,Evening,Weekday,33.24,6.46
B019,R06,60,28,Medium,Clear,Evening,Weekday,72.94,13.02
B026,R05,23,30,Medium,Rain,Morning,Weekday,46.81,10.42
B003,R04,43,29,High,Clear,Afternoon,Weekday,89.21,11.42
B019,R05,7,23,Medium,Cloudy,Evening,Weekday,50.64,8.44
B020,R02,34,36,Medium,Cloudy,Morning,Weekend,63.7,9.57
B032,R05,39,25,High,Clear,Night,Weekday,83.44,9.85
B007,R01,33,35,Low,Clear,Morning,Weekday,34.76,4.59
B041,R06,54,32,High,Clear,Morning,Weekday,87.02,10.43
B033,R05,56,8,High,Rain,Evening,Weekend,95.12,15.51
B040,R01,58,21,High,Rain,Evening,Weekend,77.59,14.23
B039,R02,18,21,High,Rain,Night,Weekday,65.35,10.42
B018,R07,39,36,Medium,Clear,Night,Weekend,61.8,4.3
B040,R06,32,16,High,Clear,Night,Weekend,74.86,10.6
B001,R05,34,24,Medium,Clear,Morning,Weekday,55.0,6.08
B011,R04,30,16,Medium,Rain,Morning,Weekday,63.13,13.28
B028,R04,11,22,Low,Clear,Evening,Weekday,29.68,5.83
B025,R06,43,31,High,Clear,Night,Weekday,86.31,12.48
B050,R04,35,16,Medium,Rain,Evening,Weekday,53.64,10.18
B023,R05,9,34,High,Clear,Night,Weekday,61.73,4.88
B031,R05,39,43,Low,Cloudy,Night,Weekday,41.5,4.28
B030,R06,54,29,High,Clear,Evening,Weekday,89.16,13.76
B042,R05,51,33,High,Clear,Evening,Weekend,94.75,14.06
B035,R07,56,24,Medium,Rain,Evening,Weekday,69.86,14.9
B007,R01,18,39,Low,Cloudy,Night,Weekday,37.29,4.62
B016,R02,40,39,Medium,Clear,Morning,Weekend,63.25,6.12
B026,R07,31,42,Low,Clear,Evening,Weekday,34.35,5.53
B048,R07,28,42,Medium,Clear,Evening,Weekday,50.11,7.37
B049,R04,44,43,Low,Cloudy,Morning,Weekday,46.02,6.01
B002,R01,33,39,Low,Clear,Morning,Weekend,34.66,5.12
B001,R06,57,30,Low,Cloudy,Afternoon,Weekday,47.93,6.98
B048,R08,49,29,Low,Clear,Evening,Weekday,40.37,7.56
B012,R04,26,48,Low,Cloudy,Afternoon,Weekend,33.02,3.24
B005,R01,12,19,High,Clear,Afternoon,Weekday,68.97,9.93
B037,R05,19,17,Medium,Cloudy,Morning,Weekday,47.48,7.85
B032,R06,53,28,Medium,Clear,Night,Weekday,62.94,6.6
B009,R08,9,24,Medium,Clear,Night,Weekday,44.83,8.69
B041,R06,56,22,Medium,Rain,Morning,Weekday,70.34,13.27
B035,R08,8,15,High,Clear,Afternoon,Weekend,63.95,8.29
B019,R08,15,24,Low,Clear,Afternoon,Weekday,36.96,3.34
B048,R04,22,39,Low,Clear,Afternoon,Weekday,31.5,5.71
B016,R05,46,19,High,Clear,Afternoon,Weekday,85.58,10.72
B003,R04,53,41,Medium,Cloudy,Evening,Weekday,70.92,11.68
B020,R08,34,22,Low,Clear,Afternoon,Weekday,38.98,6.69
B024,R08,19,35,Low,Cloudy,Morning,Weekday,24.66,5.87
B033,R03,10,30,Low,Cloudy,Afternoon,Weekend,20.87,2.87
B024,R01,59,17,High,Cloudy,Afternoon,Weekday,83.98,13.77
B011,R03,57,41,Low,Clear,Morning,Weekend,41.9,7.79
B049,R01,20,29,High,Clear,Afternoon,Weekend,71.37,8.21
B008,R02,51,25,High,Cloudy,Night,Weekday,91.7,11.85
B036,R07,44,24,Medium,Clear,Morning,Weekday,65.59,10.44
B038,R06,13,30,Low,Cloudy,Evening,Weekday,30.02,4.2
B040,R04,47,33,Low,Clear,Evening,Weekday,38.37,9.45
B020,R02,38,21,Medium,Clear,Morning,Weekday,61.47,10.99
B035,R02,31,28,Medium,Rain,Evening,Weekday,58.15,10.46
B048,R06,17,42,Medium,Cloudy,Evening,Weekday,56.88,8.8
B025,R06,40,29,Medium,Cloudy,Evening,Weekday,61.69,8.62
B035,R01,31,8,High,Rain,Morning,Weekday,84.19,14.36
B025,R03,13,34,Medium,Cloudy,Afternoon,Weekday,47.12,6.63
B029,R05,9,29,Medium,Clear,Evening,Weekday,46.74,8.79
B018,R01,55,25,High,Rain,Night,Weekday,93.32,12.98
B046,R05,26,41,Low,Cloudy,Afternoon,Weekend,34.25,1.13
B018,R02,35,40,Low,Cloudy,Afternoon,Weekday,29.93,5.07
B002,R05,7,21,Low,Clear,Evening,Weekend,18.54,8.91
B035,R03,34,37,Low,Rain,Evening,Weekday,50.32,10.11
B016,R01,25,19,Medium,Clear,Afternoon,Weekday,53.0,7.81
B041,R08,39,42,Low,Clear,Evening,Weekday,42.97,8.04
B036,R06,10,26,Medium,Clear,Morning,Weekend,39.67,7.64
B033,R08,32,33,High,Clear,Morning,Weekday,77.7,9.91
B004,R03,36,25,Low,Clear,Evening,Weekend,44.65,8.61
B033,R07,46,25,Medium,Rain,Afternoon,Weekday,53.66,11.33
B014,R03,41,32,Low,Cloudy,Evening,Weekday,41.54,8.49
B021,R07,29,44,Low,Clear,Night,Weekday,35.5,4.14
B048,R01,36,16,Medium,Cloudy,Morning,Weekend,59.62,9.11
B020,R06,39,32,High,Clear,Afternoon,Weekend,90.08,9.6
B008,R03,26,33,Medium,Clear,Night,Weekday,51.69,6.24
B007,R08,28,22,Low,Clear,Evening,Weekend,31.64,10.64
B003,R07,43,29,Medium,Rain,Morning,Weekday,60.63,11.11
B017,R06,58,34,Low,Clear,Night,Weekday,60.84,5.49
B033,R04,34,46,Low,Clear,Afternoon,Weekday,37.79,6.03
B048,R04,54,41,Medium,Clear,Morning,Weekday,69.89,8.95
B012,R04,36,43,Low,Cloudy,Evening,Weekday,26.53,7.7
B022,R05,35,20,Medium,Cloudy,Evening,Weekend,58.06,11.68
B022,R03,27,28,Medium,Clear,Morning,Weekday,52.64,9.55
B046,R01,44,28,Medium,Clear,Night,Weekend,62.46,7.62
B030,R08,37,32,Low,Cloudy,Morning,Weekend,36.89,5.39
B038,R01,29,21,High,Cloudy,Morning,Weekend,68.04,9.1
B038,R05,40,31,Medium,Clear,Morning,Weekday,58.64,6.91
B045,R01,28,22,High,Rain,Night,Weekday,81.54,11.19
B008,R07,35,17,Low,Rain,Morning,Weekday,38.12,10.13
B027,R04,43,24,Medium,Clear,Afternoon,Weekend,52.52,6.28
B027,R08,50,42,Medium,Cloudy,Evening,Weekday,59.13,8.86
B034,R03,17,26,Low,Clear,Night,Weekday,29.9,4.69
B021,R01,14,23,Low,Cloudy,Afternoon,Weekday,21.69,6.78
B030,R01,27,24,Medium,Clear,Morning,Weekday,54.67,7.29
B033,R02,22,20,High,Clear,Afternoon,Weekday,77.25,11.16
B028,R02,36,19,Medium,Cloudy,Night,Weekday,60.36,9.54
B047,R02,37,39,Low,Rain,Evening,Weekday,33.59,8.27
B033,R03,40,14,Medium,Clear,Night,Weekend,60.85,6.17
B005,R04,32,28,High,Clear,Morning,Weekday,79.71,11.78
B048,R06,20,42,Medium,Clear,Morning,Weekday,46.37,8.38
B019,R04,20,35,Low,Cloudy,Evening,Weekday,24.6,5.61
B004,R08,22,8,High,Cloudy,Night,Weekend,70.55,7.65
B035,R04,12,46,Low,Clear,Night,Weekend,33.75,2.0
B049,R03,46,12,Medium,Cloudy,Night,Weekend,58.08,3.66
B017,R07,20,37,Medium,Cloudy,Afternoon,Weekday,47.82,7.26
B044,R07,59,11,High,Clear,Evening,Weekend,83.55,11.93
B028,R03,60,33,High,Cloudy,Night,Weekday,86.23,10.46
B030,R02,15,8,High,Clear,Evening,Weekday,66.85,15.05
B029,R01,10,29,Low,Rain,Afternoon,Weekday,24.26,6.79
B046,R05,5,30,High,Clear,Night,Weekday,48.74,9.22
B006,R05,16,38,Low,Clear,Afternoon,Weekday,26.85,4.02
B035,R06,42,43,Low,Clear,Morning,Weekday,49.82,5.88
B041,R01,32,20,Medium,Rain,Morning,Weekend,56.71,13.57
B037,R06,49,38,Medium,Clear,Morning,Weekday,63.28,8.19
B024,R02,21,31,Medium,Clear,Evening,Weekday,47.66,9.78
B029,R06,5,14,Medium,Rain,Night,Weekday,37.88,10.65
B049,R01,36,23,High,Rain,Night,Weekday,78.53,13.13
B046,R08,12,35,Low,Rain,Afternoon,Weekday,28.26,7.92
B031,R01,58,43,Low,Clear,Afternoon,Weekday,57.69,6.46
B035,R05,44,11,High,Rain,Morning,Weekend,78.29,13.43
B033,R07,60,26,Low,Clear,Evening,Weekend,56.48,7.47
B021,R02,47,27,Medium,Clear,Evening,Weekday,69.79,10.73
B032,R08,50,28,Medium,Clear,Afternoon,Weekday,62.98,5.58
B023,R03,28,31,Medium,Clear,Afternoon,Weekday,50.35,7.79
B033,R08,14,24,Medium,Clear,Night,Weekday,39.82,6.38
B003,R08,51,48,Low,Clear,Night,Weekday,45.66,6.57
B018,R06,43,8,High,Rain,Afternoon,Weekday,80.06,11.04
B025,R05,43,28,Low,Clear,Night,Weekday,46.86,6.98
B042,R06,14,18,Medium,Clear,Afternoon,Weekday,48.76,8.13
B031,R06,40,31,Low,Clear,Evening,Weekday,30.09,8.15
B003,R03,29,35,Medium,Rain,Morning,Weekend,54.18,11.94
B040,R02,54,12,Medium,Clear,Afternoon,Weekend,68.53,8.82
B046,R01,14,27,High,Clear,Afternoon,Weekend,65.85,8.18
B024,R04,23,27,Medium,Clear,Night,Weekend,55.95,4.53
B050,R06,50,8,Medium,Rain,Afternoon,Weekday,62.18,12.65
B032,R04,49,33,High,Clear,Evening,Weekday,89.69,11.34
B047,R02,19,25,Medium,Clear,Morning,Weekday,46.73,8.45
B022,R04,20,41,Medium,Clear,Night,Weekend,48.35,2.72
B023,R06,6,32,Medium,Rain,Evening,Weekend,52.74,12.37
B002,R03,33,34,Medium,Clear,Morning,Weekday,49.91,7.27
B027,R04,8,32,High,Cloudy,Night,Weekday,64.47,7.72
B042,R02,57,41,Low,Clear,Evening,Weekday,50.24,5.57
B002,R02,54,27,Medium,Rain,Afternoon,Weekday,63.92,8.93
B026,R07,33,37,Medium,Cloudy,Night,Weekend,58.84,3.81
B017,R07,35,29,High,Cloudy,Afternoon,Weekend,81.18,10.8
B040,R03,21,20,High,Clear,Night,Weekday,71.9,7.23
B033,R04,14,23,Medium,Clear,Morning,Weekday,47.98,7.96
